"Quarry","Species","Forest","perc.dam_scale","perc.spec_scale","perc.gall_scale","perc.mine_scale","perc.area.dam..mean._scale","wt.perc_C_scale","wt.perc_N_scale","perc.P_scale","lignin.perc_scale","tannin.perc.condenced_scale","phenols.perc_scale","cellulose.perc_scale","div.dam_scale","div.spec_scale","div.gall_scale","div.mine_scale","CN_scale","LMA_scale","trichomes_scale","margin_type_scale"
"LS1901","Cordia alliodora","La Selva",-2.12159164827056,-0.0765057983180853,1.25813897469471,-0.750368383669059,-0.406567955068292,-0.0607219281302435,-0.217840346152856,NA,NA,NA,NA,NA,-2.98558547736099,-2.33433222169892,-1.19115092984184,-1.17730851189429,0.0095952807059494,0.518874892712272,0.68812318193294,-1.27305002676893
"LS1901","Ficus insipida","La Selva",-3.9750769659156,-1.43999316673908,-0.532282278922729,-0.215309581786013,-1.72466320605819,-0.467454153623338,0.789671254804103,-1.04333559517127,-1.9131694574158,-2.50744691762131,1.8794357773313,-1.27551310070283,-1.97822338674325,-1.43716876461266,-0.111595200750334,0.27758181493354,-1.27453909462215,0.861845792703797,-1.43358996236029,0.774900016294131
"LS1901","Luehea seemannii","La Selva",0.873336239438143,1.17702290855377,3.45284890465646,1.8731457377577,0.608784570429228,0.203976821793834,-0.469718246392096,-0.712117945910547,-0.886567250032457,0.742753779159984,-0.605301851290738,-1.14142499550411,1.22098149444936,0.869822982180566,3.26062527259737,1.82246535785381,0.485480372739303,2.81204928955215,0.68812318193294,0.774900016294131
"LS1901","Zygia longifolia","La Selva",0.0326287359550599,0.388097142075179,1.30999569236401,0.168520256130153,-0.29012844526353,1.1465626142064,2.0490607560003,-1.26414736134508,0.653336061042554,-0.621834299641322,0.86295220198592,-0.353657377461626,0.474869352607211,0.49905645144594,2.09203401945708,1.11751849846301,-0.979943561458643,1.71631639699302,0.68812318193294,-1.27305002676893
"LS1902","Cordia alliodora","La Selva",0.0764357172346022,-0.0488871826713308,1.03600649089229,-0.522768741255029,0.650702793958942,0.0748554803674547,0.789671254804103,NA,NA,NA,NA,NA,-0.627693990530449,-0.430148557679111,0.177770252408215,-0.232379742923637,-0.881745050404142,0.206653107892402,0.68812318193294,-1.27305002676893
"LS1902","Ficus insipida","La Selva",0.0754987928747528,0.758009578708359,0.382675639670526,0.844316670332184,-0.58821359036372,0.720462187499351,0.789671254804103,-1.04333559517127,-1.9131694574158,-2.50744691762131,1.8794357773313,-1.27551310070283,0.937591719506349,0.636377388755061,1.52443255364608,0.307579553631021,-0.390752495131634,1.05461909166455,-1.43358996236029,0.774900016294131
"LS1902","Luehea seemannii","La Selva",-0.328765848808221,0.219565744242974,1.42822899614837,0.876210372428821,-0.173688935458769,-0.306052476840364,0.537793354564864,-0.712117945910547,-0.886567250032457,0.742753779159984,-0.605301851290738,-1.14142499550411,-0.120691971296465,0.380044972444702,0.867795563786293,1.23750945325293,-0.98749729307822,2.34667325801193,0.68812318193294,0.774900016294131
"LS1902","Zygia longifolia","La Selva",-0.0635008097951594,0.408135119740834,0.802540711372418,0.217833254444889,0.0265870214054205,1.03035340692266,1.92312180588068,-1.26414736134508,0.653336061042554,-0.621834299641322,0.86295220198592,-0.353657377461626,0.614350257461976,0.416663889060467,1.53556199415218,1.31250379999663,-1.03281968279568,0.665524518915544,0.68812318193294,-1.27305002676893
"LS1903","Cordia bicolor","La Selva",0.674633040495914,0.93069960853006,1.06974813036826,-0.364313294519496,1.65208257827989,0.158784352294601,0.537793354564864,NA,NA,NA,NA,NA,0.311034638968282,-0.361488089024551,0.778760039737509,-0.0223955720412701,-0.534273395903598,1.71040310561386,-1.43358996236029,0.774900016294131
"LS1903","Luehea seemannii","La Selva",0.432113806503856,0.607511628368266,0.794858767865634,-0.43391336939274,1.72194628416275,-0.822537842545881,0.285915454325623,-0.712117945910547,-0.886567250032457,0.742753779159984,-0.605301851290738,-1.14142499550411,0.620992205312202,0.467014899407145,1.29071430301802,0.0525987747024323,-1.11591073061103,0.378138557888164,0.68812318193294,0.774900016294131
"LS1903","Schnella guianensis","La Selva",0.41091814269856,0.613959552140941,0.65520793720782,0.615229450482883,0.660017954743323,1.21112328491959,0.285915454325623,NA,NA,NA,NA,NA,-0.331020319886982,-0.443880651410023,0.255676335950901,0.307579553631021,0.538356494076342,0.346206784440678,-1.43358996236029,0.774900016294131
"LS1903","Trophis racemose","La Selva",0.862833865904892,0.958490060399222,0.321202429893877,0.283474043469564,0.170972013563325,1.12073834592113,2.30093865623954,NA,NA,NA,NA,NA,0.51250705709183,0.508211180599881,-0.0893363197381383,0.307579553631021,-1.20655551004595,0.376364570474415,-1.43358996236029,0.774900016294131
