"Quarry","Species","LMA_sd_value_rep","Forest","perc.dam_scale","perc.spec_scale","perc.gall_scale","perc.mine_scale","perc.area.dam..mean._scale","wt.perc_C_scale","wt.perc_N_scale","perc.P_scale","lignin.perc_scale","tannin.perc.condenced_scale","phenols.perc_scale","cellulose.perc_scale","div.dam_scale","div.spec_scale","div.gall_scale","div.mine_scale","CN_scale","LMA_scale","trichomes_scale","margin_type_scale"
"HF1901","Acer rubrum",32.32,"Harvard Forest",0.0651649897872967,0.105356328043865,1.71784172917429,0.685876676094834,-0.974792762915528,1.63076764455532,-0.973474046870576,0.723158534219238,-0.0781180117180761,1.01718593063665,-0.469770707911355,-0.0368742289296486,0.767115058017193,0.947638179989068,1.04586661188386,1.70247440306389,3.28036107198281,0.406522356508152,0.68812318193294,0.774900016294131
"HF1901","Betula sp.",13.82,"Harvard Forest",-0.228246428223135,-1.6483910048755,-0.799401580657938,-0.64105529697063,2.23893770769589,1.23694755320487,1.4193660054022,2.37924678052284,0.79834362283545,-1.02639361396066,-1.22648625844625,1.38781188880676,-0.742821086601048,-1.41885930630478,-0.823879393140609,-0.682345823385852,-0.57959578562106,-0.243644030630952,0.68812318193294,0.774900016294131
"HF1901","Fagus grandifolia",8.5,"Harvard Forest",-1.70034498284107,-1.63477707651351,-0.448356280865493,-0.616603680656768,-1.6245252276261,0.823759260640454,-0.0919013960332363,-0.160088530476014,NA,NA,NA,NA,-0.782672773702409,-1.54244814988299,-0.156112962774726,-0.577353737944668,0.689431126467883,-1.18297036621119,0.68812318193294,0.774900016294131
"HF1901","Quercus rubra",11.09,"Harvard Forest",0.91138433129645,0.994805703590822,-0.700134275037201,2.99504322951226,0.0685052449351348,1.7598889859817,1.67124390564144,-0.160088530476014,1.00623056983058,-0.157188308174161,0.473300164770192,0.876600987736636,1.39810010378875,0.878977711334507,-0.289666248847903,1.53748684022774,-0.383198763512057,-0.671470661913483,-1.43358996236029,-1.27305002676893
"HF1902","Acer rubrum",43.05,"Harvard Forest",0.647101325420942,-0.124611010334467,0.845442221415992,-0.345133206465685,-0.525336255069148,-0.260860007341131,-0.469718246392096,0.723158534219238,-0.0781180117180761,1.01718593063665,-0.469770707911355,-0.0368742289296486,0.665271857647048,0.718769951140533,0.255676335950901,0.0375999053536919,0.190884839575798,0.239767539615722,0.68812318193294,0.774900016294131
"HF1902","Betula sp.",15.33,"Harvard Forest",0.190584481276971,-1.6185450837239,-0.808927231938224,-0.750368383669059,0.322343376309515,-0.448085952409381,0.789671254804103,2.37924678052284,0.79834362283545,-1.02639361396066,-1.22648625844625,1.38781188880676,-0.519208842310077,-1.2128779003411,-0.879526595671099,-1.17730851189429,-1.27453909462215,-0.214077573735131,0.68812318193294,0.774900016294131
"HF1902","Fagus grandifolia",9.24,"Harvard Forest",-0.120669997084914,-1.15593329847225,-0.867986264773297,-0.750368383669059,-0.28547086487134,-1.32611107410876,-0.721596146631336,-0.160088530476014,NA,NA,NA,NA,0.262327021399951,-0.123465131022074,-1.19115092984184,-1.17730851189429,-0.473843542946981,-1.20721486086576,0.68812318193294,0.774900016294131
"HF1902","Quercus rubra",9.66,"Harvard Forest",1.06399477930316,0.993355700612918,-0.709713912889622,-0.371976920328851,0.741525611606656,-1.35193534239404,-0.973474046870576,-0.160088530476014,1.00623056983058,-0.157188308174161,0.473300164770192,0.876600987736636,1.22540945968285,1.68001651230438,-0.512255058969864,0.00760216665621091,-0.179248009783477,-0.694828162861181,-1.43358996236029,-1.27305002676893
"HF1903","Acer rubrum",14.38,"Harvard Forest",0.441582750425651,-0.554970323516907,0.503066460935678,-0.623687797119794,0.0219294410132302,0.268537492507023,-0.721596146631336,0.723158534219238,-0.0781180117180761,1.01718593063665,-0.469770707911355,-0.0368742289296486,0.37745411747055,0.0367426291718997,0.200029133420411,-0.697344692734592,1.30128338765362,-0.235069758131164,0.68812318193294,0.774900016294131
"HF1903","Betula sp.",17.43,"Harvard Forest",-0.363035156908357,-1.37963758755087,-0.823068122811945,-0.750368383669059,0.166314433171134,-0.76443323890401,-0.847535096750956,2.37924678052284,0.79834362283545,-1.02639361396066,-1.22648625844625,1.38781188880676,-0.543562651094242,-0.773450900951913,-0.968562119719884,-1.17730851189429,0.372174398445647,-0.279123778905937,0.68812318193294,0.774900016294131
"HF1903","Fagus grandifolia",7.78,"Harvard Forest",0.0127247775264797,-1.3101372244222,-0.867986264773297,-0.750368383669059,-0.28547086487134,-1.55207342160492,-1.35129089722944,-0.160088530476014,NA,NA,NA,NA,-2.98558547736099,-2.33433222169892,-1.19115092984184,-1.17730851189429,0.402389324923955,-1.42896328758442,0.68812318193294,0.774900016294131
"HF1903","Quercus rubra",6.52,"Harvard Forest",1.07988299362648,1.56306417554845,-0.740782190126447,-0.692441786720819,2.25523923906855,0.959336669138152,-0.217840346152856,-0.160088530476014,1.00623056983058,-0.157188308174161,0.473300164770192,0.876600987736636,0.231331264765559,0.183218295634962,-0.59016114251255,-0.93732660231444,0.817844564000693,-1.03809472742166,-1.43358996236029,-1.27305002676893
